nome,indirizzo,CAP,comune,provincia,lat_comune,lon_comune
Cavaglià,Via Santhià 75,13881,Cavaglià,BI,45.4058,8.0935
Cervia,Via Jelenia Gora 6,48015,Cervia,RA,44.2609,12.3498
Cervino,Via Circonvallazione 18,11028,Valtournenche,AO,45.8771,7.6227
Chervò Golf San Vigilio,Località San Vigilio,25010,Pozzolengo,BS,45.4029,10.6271
Ciliegi,Strada Valle Sauglio 130,10020,Pecetto Torinese,TO,45.0196,7.7487
Cingoli,Via Botontano 61 - Fattoria Castiglioni,62011,Cingoli,MC,43.3743,13.2165
Circolo Golf Bogogno,Via Sant'Isidoro 1,28010,Bogogno,NO,45.6672,8.5345
Circolo Golf Napoli,Via Campiglione 11 - Arco Felice,80078,Pozzuoli,NA,40.8468,14.0909
Circolo Golf Rapallo,Via Mameli 377,16035,Rapallo,GE,44.3502,9.2317
Circolo Golf Roma Acquasanta,Via Appia Nuova 716/A,00178,Roma,RM,41.8928,12.4837
Circolo Golf Venezia,Strada Vecchia 1,30126,Venezia,VE,45.4349,12.3385
Circolo Golf Villa d'Este,Via Cantù 13,22030,Montorfano,CO,45.7854,9.1445
Circolo Golf degli Ulivi Sanremo,Strada Campo Golf 59,18038,Sanremo,IM,43.821,7.7846
Circolo del Golf Ugolino,Via Chiantigiana per Strada 3,50023,Impruneta,FI,43.6857,11.2544
Città d'Asti,Recinto San Rocco 5,14100,Asti,AT,44.8991,8.2041
Claviere,Via Nazionale 45,10050,Claviere,TO,44.9386,6.7493
Club Giardino,SS 468 Motta 39,41012,Carpi,MO,44.7825,10.8853
Colli Euganei,Via Bosco 21,35030,Cervarese Santa Croce,PD,45.4029,11.6919
Colonnetti,Via M. Panetti 30,10127,Torino,TO,45.0733,7.6807
Conero,Via Betelico 6,60020,Sirolo,AN,43.526,13.616
Continental Verbania,Via 42 Martiri - SS 34 del Lago Maggiore,28924,Verbania,VB,45.9214,8.5511
Cortina,Località Fraina 14/15,32043,Cortina d'Ampezzo,BL,46.5367,12.1385
Cosmopolitan,Via delle Eriche 133 - Tirrenia,56128,Pisa,PI,43.7155,10.4013
Cossato,Via Mino 46,13836,Cossato,BI,45.5701,8.1806
Courmayeur,Loc. Le Pont - Val Ferret,11013,Courmayeur,AO,45.793,6.9721
Croara,Strada Prov.le 28 - Loc. Croara,29010,Gazzola,PC,44.9593,9.5471
Daunia,Tenuta S. Lucia - Contrada Posta Tuori - SS 89 km 180,71013,San Giovanni Rotondo,FG,41.7078,15.7266
Des Iles Borromées,Località Motta Rossa 1,28833,Brovello-Carpugnino,VB,45.8427,8.5332
Dolomiti Golf Club,Località Centro Sport Verde 1,38011,Sarnonico,TN,46.42,11.1414
Druento,Strada della Barra 21,10040,Druento,TO,45.1347,7.5762
Ducato,Via Campi 8,43038,Sala Baganza,PR,44.7155,10.2282
Easy Golf,Via Sogare 13,37138,Verona,VR,45.4384,10.9935
European Golf Club Ispra,Via Esperia 467,21027,Ispra,VA,45.8162,8.6103
Faenza Cicogne,Via S. Orsola 10/E,48018,Faenza,RA,44.2854,11.8828
Fioranello,Via della Falcognana 61,00134,Roma,RM,41.8928,12.4837
Firenze Ugolino,Via Chiantigiana per Strada 3,50023,Impruneta,FI,43.6857,11.2544
Fiuggi 1928,S.S. Anticolana snc,03014,Fiuggi,FR,41.8043,13.2212
Florinas,Località Cantaruena snc,07030,Florinas,SS,40.6479,8.6657
Folgaria,Maso Spilzi - Fraz. Costa,38064,Folgaria,TN,45.9166,11.1701
Forte dei Marmi,Via della Sipe 100,55045,Pietrasanta,LU,43.9596,10.2277
Franciacorta Golf Club,Via Provinciale 34/B,25040,Corte Franca,BS,45.6372,10.007
Frassanelle,Via Rialto 5/A,35030,Rovolon,PD,45.3858,11.6522
Fronde,Via Sant'Agostino 68,10051,Avigliana,TO,45.0794,7.3963
GGZ - Zerman,Via Malombra 4/B - Loc. Zerman,31021,Mogliano Veneto,TV,45.5616,12.2365
Gardagolf Country Club,Via Angelo Omodeo 2,25080,Soiano del Lago,BS,45.5367,10.5136
Garessio,Viale Marro 15,12075,Garessio,CN,44.1973,8.0299
Garfagnana,Loc. Braccicorti - Pontecosi,55036,Pieve Fosciana,LU,44.1306,10.4107
Garlenda Golf Club,Via del Golf 7,17033,Garlenda,SV,44.0336,8.0968
Girasoli,Via Pralormo 315,10022,Carmagnola,TO,44.8465,7.7182
Globale Jesolo,Via St Andrews 2,30016,Jesolo,VE,45.5335,12.6365
Golf Brianza Country Club,Loc. Cascina Cazzù 4,20865,Usmate Velate,MB,45.6507,9.3615
Golf Ca' della Nave,Piazza della Vittoria 14,30030,Martellago,VE,45.5461,12.1599
Golf Club Airone,Strada Casalmoro 20,46042,Castel Goffredo,MN,45.298,10.4746
Golf Club Arenzano La Pineta,Piazza del Golf 2,16011,Arenzano,GE,44.4018,8.6823
Golf Club Bergamo L'Albenza,Via Longoni 12,24030,Almenno San Bartolomeo,BG,45.7483,9.5783
Golf Club Bogliaco,Via del Golf 21,25088,Toscolano Maderno,BS,45.6417,10.6062
Golf Club Bologna,Via Sabattini 69,40050,Monte San Pietro,BO,44.4578,11.1997
Golf Club Bormio,Via Giustizia snc,23032,Bormio,SO,46.4702,10.3756
Golf Club Carimate,Via Airoldi 2,22060,Carimate,CO,45.7027,9.1153
Golf Club Castelfalfi,Località Castelfalfi,50050,Montaione,FI,43.5523,10.9123
Golf Club Castellaro,Strada per i Piani 1,18011,Castellaro,IM,43.8647,7.8683
Golf Club Castello di Tolcinasco,Località Tolcinasco,20072,Pieve Emanuele,MI,45.3512,9.1997
Golf Club Centanni,Via di Centanni 8,50012,Bagno a Ripoli,FI,43.7514,11.3194
Golf Club Cherasco,Via Fraschetta 8,12062,Cherasco,CN,44.6522,7.8582
Golf Club Colli Berici,Str. Monti Comunali,36040,Brendola,VI,45.4694,11.4552
Golf Club Colline del Gavi,Località Fara Nuova 7,15060,Tassarolo,AL,44.7266,8.7695
Golf Club Como,Via Roma 37,22070,Guanzate,CO,45.7243,9.0109
Golf Club Grado,Via Monfalcone 27,34073,Grado,GO,45.6755,13.3865
Golf Club Lanzo,Loc. Piano delle Noci,22024,Alta Valle Intelvi,CO,45.98,9.03
Golf Club Lazzate,Via Vittorio Emanuele 150,20824,Lazzate,MB,45.6688,9.0842
Golf Club Le Betulle,Regione Valcarrozza 2,13887,Magnano,BI,45.4627,8.0051
Golf Club Le Fonti,Viale Terme 1800,40024,Castel San Pietro Terme,BO,44.3981,11.5892
Golf Club Le Robinie,Via per Busto Arsizio 9,21058,Solbiate Olona,VA,45.6536,8.8873
Golf Club Le Rovedine,Via Karl Marx 18,20090,Opera,MI,45.3779,9.2115
Golf Club Lecco,Frazione Pizzighettone 1,23841,Annone di Brianza,LC,45.8052,9.331
Golf Club Lignano,Via Casa Bianca 6,33054,Lignano Sabbiadoro,UD,45.6883,13.1298
Golf Club Madesimo,Via Innocenti De Giacomi 5,23024,Madesimo,SO,46.4282,9.3442
Golf Club Margara,Via Tenuta Margara 7,15043,Fubine Monferrato,AL,44.9656,8.4254
Golf Club Menaggio e Cadenabbia,Località Golf 1,22010,Grandola ed Uniti,CO,46.0313,9.2071
Golf Club Milano,Viale Mulini San Giorgio 7,20900,Monza,MB,45.5844,9.2736
Golf Club Mirasole,Via Karl Marx 16,20090,Opera,MI,45.3779,9.2115
Golf Club Montecampione,Via Legazzuolo di Montecampione snc,25040,Artogne,BS,45.8483,10.1645
Golf Club Monticello,Via A. Volta 63,22070,Cassina Rizzardi,CO,45.751,9.0304
Golf Club Petersberg,Petersberg - Unterwinkl 5,39050,Nova Ponente,BZ,46.4141,11.4256
Golf Club Ponte di Legno,Via Risorgimento 5,25056,Ponte di Legno,BS,46.2565,10.5115
Golf Club Pordenone,Via San Gregorio 5 - Loc. Castel d'Aviano,33081,Aviano,PN,46.0672,12.5882
Golf Club Punta Ala,Via del Golf 1 - Punta Ala,58043,Castiglione della Pescaia,GR,42.762,10.8788
Golf Club Salerno,Via Lago Trasimeno 11,84098,Pontecagnano Faiano,SA,40.643,14.8734
Golf Club Sappada,Via Palù 5,33012,Sappada,UD,46.567,12.688
Golf Club Serenissima,Via Serenissima 34 - Fraz. Bettole di Buffalora,25129,Castenedolo,BS,45.4714,10.3004
Golf Club Tarvisio,Via Priesnig 5,33018,Tarvisio,UD,46.5061,13.5733
Golf Club Varese,Via Vittorio Veneto 59,21020,Luvinate,VA,45.8396,8.7725
Golf Club Verona,Loc. Ca' del Sale 15,37066,Sommacampagna,VR,45.4071,10.8404
Golf Club Vigevano,Via Chitola 49,27029,Vigevano,PV,45.3176,8.8599
Golf Club Villa Carolina,Loc. Villa Carolina 32,15060,Capriata d'Orba,AL,44.73,8.6889
Golf Club Villa Paradiso,Via Villa Paradiso 12/A,20872,Cornate d'Adda,MB,45.6488,9.4639
Golf Club Volturno,"Via Domitiana km 35,300",81030,Castel Volturno,CE,41.0346,13.9409
Golf Club Zoate,Via Verdi 8,20067,Tribiano,MI,45.4042,9.3683
Golf Club il Colombaro,Via Colombaro 1,25087,Salò,BS,45.6071,10.5323
Golf Club il Laghetto,Via Lombardia 2,20068,Peschiera Borromeo,MI,45.4318,9.3111
Golf Club il Torrazzo Cremona,Via Castelleone 101 - Loc. S. Predengo,26100,Cremona,CR,45.1334,10.0242
Golf Club la Rossera,Via Montebello 4,24060,Chiuduno,BG,45.6469,9.8538
Golf Country Club Castello di Spessa,Via Spessa 14,34070,Capriva del Friuli,GO,45.9421,13.5146
Golf Crema Resort,Via Ombrianello 21,26013,Crema,CR,45.3633,9.6874
Golf San Vito,Via Marta Lodi 2/C,20083,Gaggiano,MI,45.4057,9.0345
Golf dei Laghi,Via Trevisani 926,21028,Travedona-Monate,VA,45.8057,8.6773
